Food Product,Ingredients,Allergens
Oatmeal Raisin Cookies,"Oats, Brown sugar, Butter, Raisins, cinnamon","Wheat, Dairy"
Apple Crisp,"Apples, Sugar, Butter, Cinnamon, oats","Wheat, Dairy"
Tiramisu,"Ladyfingers, Sugar, Mascarpone cheese, Coffee, cocoa","Wheat, Dairy"
Cinnamon Rolls,"Dough, Sugar, Butter, Cinnamon, icing","Wheat, Dairy"
Baked Apple,"Apples, Sugar, Butter, Cinnamon, oats","Wheat, Dairy"
Apple Pie,"Apples, Sugar, Butter, Cinnamon, pastry","Wheat, Dairy"
Pumpkin Pie,"Pumpkin, Sugar, Butter, Pumpkin spice, pastry","Wheat, Dairy"
Blueberry Muffins,"Flour, Sugar, Butter, Blueberries","Wheat, Dairy"
Jalebi,"Flour, Sugar, Ghee, Saffron syrup","Wheat, Dairy"
Tiramisu,"Ladyfingers, Sugar, Mascarpone cheese, coffee liqueur, Cocoa powder","Wheat, Dairy, Alcohol"
Chocolate Cake,"Flour, Sugar, Butter, Cocoa powder","Wheat, Dairy, Cocoa"
Chocolate Chip Pancakes,"Flour, Sugar, Butter, Chocolate chips","Wheat, Dairy, Cocoa"
Lemon Bars,"Lemon juice, Sugar, Butter, Flour, eggs","Wheat, Dairy, Eggs"
Pecan Pie,"Pecans, Sugar, Butter, Corn syrup","Wheat, Dairy, Nuts"
Zucchini Bread,"Zucchini, Sugar, Butter, Cinnamon, nuts","Wheat, Dairy, Nuts"
Banana Bread,"Bananas, Sugar, Butter, Cinnamon, nuts","Wheat, Dairy, Nuts"
